a,1=工
gpf,1=琮
gpl,1=珲
gpq,1=琬
gq,1=万
gqb,1=殛
gqc,1=殆
gqeb,1=殍
gqeg,1=殂
gqet,1=劢
gqf,1=殖
gqfu,1=殪
gqg,1=残
gqgy,1=麸
gqi,1=歹
gqiy,1=珧
gqj,1=列
gqje,1=裂
gqji,1=虺
gqjo,1=烈
gqju,1=虿
gqk,1=趸
gqkm,1=殒
gqm,1=殃
gqp,1=迈
gqpw,1=殡
gqq,1=殉
gqt,1=殊
gqtb,1=聱
gqtd,1=獒
gqtf,1=歼
gqtg,1=鳌
gqtg,2=骜
gqtj,1=螯
gqtm,1=赘
gqto,1=熬
gqtp,1=遨
gqtq,1=鏊
gqtr,1=殇
gqty,1=敖
gqu,1=殚
gqv,1=兀
gqw,1=殓
gqwc,1=殁
gqwe,1=殄
gqwv,1=餮
gqx,1=死
gqy,1=玖
gr,1=珀
grd,1=碧
grq,1=瑰
gs,1=末
gsh,1=玎
gsj,1=亍
gsk,1=珂
gss,1=琳
gt,1=麦
gtf,1=珠
gtfm,1=瓒
gtg,1=珩
gtk,1=珞
gtl,1=璁
gty,1=玫
gu,1=来
gud,1=夹
gudb,1=郏
gudm,1=颊
guf,1=平
guj,1=璋
gusm,1=赉
gv,1=妻
gvt,1=瑙
gw,1=珍
gwa,1=玳
gwg,1=瑜
gwn,1=玑
gwv,1=玢
gwy,1=玲
gx,1=互
gxh,1=纛
gxi,1=素
gxu,1=毒
gxw,1=夷
gy,1=玉
gyc,1=琉
gyg,1=斑
gyiy,1=琼
gyr,1=璃
gyt,1=班
gyth,1=璇
gyv,1=琅
gyy,1=玟
h,1=上
ha,1=瞒
hag,1=虐
hagg,1=眶
hal,1=瞄
har,1=眍
hc,1=眸
hck,1=眙
hcu,1=攴
hcw,1=睃
hd,1=非
hdf,1=睚
hdh,1=悲
hdhe,1=裴
hdhg,1=韭
hdhj,1=蜚
hdhl,1=辈
hdhn,1=翡
hdhy,1=斐
he,1=肯
hee,1=虏
heh,1=瞍
hep,1=瞬
heq,1=睨
hes,1=睬
hf,1=睦
hfc,1=歧
hfcl,1=瞌
hff,1=眭
hft,1=睹
hg,1=睛
hgb,1=盹
hgep,1=遽
hgf,1=盱
hgh,1=凸
hghg,1=芈
hghn,1=眄
hgu,1=睐
hgv,1=睫
hh,1=步
hhd,1=频
hhdf,1=颦
hhg,1=止
hhgn,1=虍
hhh,1=目
hhl,1=丨
hhu,1=卡
hhw,1=瞿
hhwc,1=矍
hhwe,1=氍
hhx,1=眦
hhy,1=卜
hi,1=叔
hich,1=督
hip,1=瞠
hit,1=眇
hj,1=旧
hjj,1=卓
hjs,1=桌
hk,1=占
hka,1=战
hkg,1=虞
hkm,1=觇
hkn,1=乩
hko,1=点
hl,1=卤
hln,1=卣
hlra,1=鹾
hm,1=贞
hn,1=虑
hna,1=眠
hnb,1=瞰
hnd,1=鼎
hndm,1=颅
hnh,1=凹
hnhq,1=兕
hnq,1=鸬
hnr,1=卢
hnt,1=瞩
hnu,1=忐
ho,1=虚
hom,1=觑
hoq,1=瞵
hoy,1=眯
hp,1=瞎
hpg,1=壑
hpgh,1=睿
hpj,1=瞑
hpq,1=眈
hq,1=餐
hqco,1=粲
hqd,1=瞻
hqi,1=眺
hqq,1=眵
hqv,1=睁
hr,1=睥
hs,1=盯
hsf,1=瞟
ht,1=睡
hto,1=瞅
htp,1=眨
hu,1=瞳
hux,1=睇
hv,1=眼
hw,1=具
hwb,1=齿
hwbc,1=龄
hwbf,1=龌
hwbg,1=龃
hwbh,1=龊
hwbk,1=龆
hwbk,2=龉
hwbn,1=龅
hwbv,1=龈
hwbx,1=龇
hwbx,2=龀
hwby,1=龋
hwe,1=彪
hwg,1=瞪
hwgd,1=睽
hwgg,1=睑
hwv,1=虎
hwvt,1=盼
hwy,1=瞧
hwyg,1=睢
hx,1=此
hxd,1=砦
hxf,1=些
hxm,1=赀
hxq,1=觜
hxs,1=柴
hxw,1=雌
hxx,1=紫
hxy,1=訾
hy,1=虔
hyx,1=眩
i,1=不
ia,1=江
iad,1=漭
iagn,1=懑
iagw,1=满
iaj,1=漠
iak,1=灌
iam,1=潢
ian,1=汇
iann,1=泄
ians,1=渠
ians,2=渫
iap,1=涝
iapi,1=潆
iapy,1=滢
iaq,1=鸿
iar,1=沤
ias,1=柒
iat,1=浇
iav,1=沏
iavw,1=潇
iaw,1=洪
iawn,1=港
ib,1=波
ibc,1=滠
ibe,1=泐
ibg,1=洱
ibi,1=涵
ibk,1=凼
ibn,1=池
ibv,1=婆
ibw,1=滁
ibyy,1=汲
ic,1=汉
ica,1=泾
icd,1=渗
ice,1=涌
icg,1=泽
ick,1=治
icw,1=滩
icwt,1=浚
icyy,1=汊
id,1=尖
ide,1=湖
ideg,1=洧
idet,1=沥
idf,1=涯
idff,1=溽
idg,1=沽
idh,1=沣
idhc,1=滟
idi,1=尜
idj,1=淹
idl,1=湎
idr,1=源
idt,1=涛
idui,1=潦
idw,1=湛
idwr,1=澌
idwt,1=溱
idwy,1=淇
idx,1=泷
idy,1=汰
ie,1=肖
ieb,1=浮
iec,1=淝
iee,1=滔
ieg,1=沮
ieh,1=溲
iej,1=削
iep,1=逍
iet,1=淫
iex,1=溪
if,1=汗
ifa,1=灞
ifc,1=法
ifcl,1=溘
ifd,1=濡
iff,1=尘
iffg,1=洼
ifg,1=泔
ifh,1=汁
ifhw,1=滇
ifj,1=潮
ifjn,1=瀚
ifk,1=洁
ifke,1=澎
ifkf,1=澍
ifn,1=污
ifnd,1=渎
ifp,1=渤
ifq,1=沅
ift,1=渚
ig,1=光
iga,1=浅
igb,1=沌
igd,1=添
ige,1=清
igey,1=涿
igg,1=汪
iggj,1=潜
igh,1=沔
igj,1=洹
igk,1=滞
igkg,1=浯
igm,1=渍
igmh,1=沛
igmj,1=漕
igqj,1=洌
igql,1=辉
igqy,1=耀
igs,1=沫
igu,1=涞
igud,1=浃
igw,1=兴
igwg,1=举
igwy,1=誉
ih,1=小
ihg,1=泪
ihh,1=涉
ihhm,1=濒
ihi,1=淑
ihit,1=渺
ihj,1=淖
ihk,1=沾
ihm,1=浈
ihn,1=滤
ihnt,1=泸
ihq,1=瀣
ihtf,1=滹
ihw,1=濉
ii,1=水
iie,1=消
iiiu,1=淼
iim,1=淌
iit,1=沙
iite,1=裟
iitg,1=鲨
iitr,1=挲
iitv,1=娑
ij,1=浊
ija,1=瀑
ijf,1=沓
ijfg,1=涅
ijg,1=汩
ijg,2=汨
ijl,1=温
ijlc,1=漫
ijn,1=溻
ijo,1=湿
ijq,1=渴
ijt,1=滥
ijx,1=混
ijym,1=灏
ik,1=溃
ike,1=涓
ikhk,1=潞
ikhy,1=浞
ikj,1=渑
ikk,1=澡
ikkn,1=漶
ikm,1=涡
il,1=泗
ild,1=涸
ildy,1=洇
ile,1=渭
ilf,1=涠
ilge,1=溷
ilgj,1=淠
ilk,1=洄
ilp,1=涟
ilr,1=渐
ilw,1=泅
ilx,1=漯
im,1=油
ima,1=澧
imd,1=湍
imdy,1=泱
ime,1=滑
imga,1=溅
imgk,1=洞
imh,1=汕
imj,1=测
imk,1=尚
imke,1=氅
imkt,1=敞
imw,1=涔
in,1=沁
ina,1=泯
inb,1=潺
inbt,1=澉
inf,1=漏
infh,1=汛
ing,1=渥
inh,1=湄
inm,1=涮
inn,1=汜
inr,1=汤
inro,1=烫
int,1=泌
inty,1=泼
inw,1=濯
inx,1=泥
io,1=渡
iol,1=瀵
ioo,1=淡
iou,1=濂
iov,1=溏
iox,1=漉
ip,1=党
ipa,1=黉
ipb,1=学
ipe,1=浓
ipf,1=尝
ipfi,1=淙
ipfq,1=浣
ipg,1=泻
ipgg,1=渲
ipgh,1=淀
ipgw,1=演
ipi,1=泶
ipj,1=溟
ipjh,1=渖
ipk,1=常
ipke,1=裳
ipkf,1=堂
ipkm,1=赏
ipkr,1=掌
ipks,1=棠
ipl,1=浑
ipm,1=觉
ipn,1=涫
ipq,1=沈
ipqg,1=鲎
ipr,1=滨
ips,1=泞
ipt,1=喾
ipu,1=滓
ipw,1=沉
ipwk,1=溶
ipws,1=深
ipx,1=沱
iq,1=沟
iqd,1=澹
iqg,1=淦
iqgg,1=渔
iqi,1=洮
iqj,1=洵
iqk,1=浼
iqm,1=涣
iqn,1=泡
iqt,1=淘
iqtb,1=泖
iqtj,1=潴
iqtk,1=漪
iqy,1=汐
iqyl,1=溜
ir,1=汽
irb,1=汹
ird,1=淆
irdf,1=湃
irdh,1=浠
ire,1=派
irg,1=泊
irgg,1=湟
irh,1=沂
irr,1=浙
irw,1=浜
iry,1=激
is,1=浦
isf,1=漂
isfg,1=湮
isfy,1=溥
isg,1=洒
isgg,1=酒
ish,1=汀
ishg,1=湘
isj,1=潭
isjg,1=渣
isk,1=河
iskg,1=涑
iskm,1=濑
iskw,1=漱
isr,1=淅
iss,1=淋
isse,1=潸
issv,1=漤
issy,1=溧
isw,1=漆
iswc,1=淞
isy,1=沐
isyy,1=沭
it,1=少
ita,1=弊
itb,1=沲
itd,1=活
itdq,1=鋈
itdy,1=沃
iten,1=滗
iter,1=劣
itf,1=洗
itfk,1=浩
itfy,1=洙
itg,1=洚
ith,1=省
ithd,1=溴
ithf,1=瞥
ithg,1=洎
ithj,1=濞
ithp,1=涎
iti,1=潲
itk,1=洛
itkh,1=蹩
itl,1=洫
itm,1=澳
itn,1=憋
itni,1=泺
itnn,1=汔
ito,1=潘
itoh,1=渊
itoy,1=湫
itp,1=泛
itq,1=鳖
its,1=涤
itx,1=海
ity,1=敝
iu,1=洋
iub,1=溯
iuc,1=滚
iue,1=湔
iug,1=泣
iugg,1=润
iugh,1=泮
iugi,1=漾
iuj,1=漳
iujf,1=潼
iujg,1=涧
iuk,1=涪
ius,1=澜
iuw,1=溢
iux,1=滋
iuxt,1=涕
iv,1=当
iva,1=溉
ivfy,1=浔
ivg,1=汝
ivgh,1=津
ivi,1=渌
ivk,1=沼
ivkg,1=洳
ivl,1=淄
ivp,1=浸
ivs,1=染
ivw,1=梁
ivwo,1=粱
ivy,1=涩
iw,1=没
iwb,1=沧
iwe,1=脊
iwf,1=浍
iwg,1=洽
iwga,1=瀹
iwgc,1=溆
iwgj,1=渝
iwgs,1=涂
iwgt,1=潋
iwgu,1=澄
iwk,1=沿
iwo,1=濮
iwr,1=滏
iwv,1=汾
iwvl,1=湓
iww,1=浴
iwx,1=沦
iwy,1=淮
iwyc,1=泠
iwyf,1=雀
ix,1=涨
ixc,1=泓
ixj,1=沸
ixu,1=溺
ixw,1=潍
iy,1=济
iyb,1=淳
iyc,1=流
iycq,1=鎏
iyct,1=澈
iye,1=瀛
iyey,1=沩
iyg,1=注
iyh,1=汴
iyjh,1=浏
iyl,1=澶
iyn,1=沪
iyni,1=泳
iyo,1=湾
iyos,1=滦
iyp,1=濠
iyr,1=漓
iyt,1=洲
iytb,1=游
iytf,1=浒
iyth,1=漩
iyu,1=滴
iyuy,1=滂
iyv,1=浪
iyw,1=液
iywf,1=淬
iywn,1=沆
iywu,1=淤
iyx,1=泫
iyy,1=汶
iyyg,1=氵
j,1=是
ja,1=晓
jad,1=蟒
jag,1=虹
jagw,1=螨
jah,1=蚜
jaj,1=蜡
jajd,1=蟆
jak,1=蜮
jal,1=蠛
jam,1=蟥
jan,1=蝶
jap,1=蝾
jape,1=蠓
jatq,1=蛲
jaw,1=暴
jawc,1=蠖
jb,1=最
jbl,1=蜢
jc,1=坚
jce,1=肾
jceh,1=蛹
jcfg,1=蛏
jcg,1=蚂
jcm,1=贤
jct,1=蛑
jcu,1=竖
jcx,1=紧
jd,1=晨
jde,1=蝴
jdff,1=蝰
jdg,1=蛄
jdgq,1=蛎
jdh,1=蚌
jdn,1=晟
jdr,1=螈
jdw,1=蜞
jdwj,1=蝽
jdwt,1=螓
jdwu,1=昃
je,1=明
jeb,1=蜉
jegc,1=暖
jegg,1=蛆
jeh,1=螋
jel,1=盟
jen,1=蚝
jep,1=暧
jf,1=时
jfc,1=野
jfcf,1=墅
jfcu,1=昙
jfd,1=里
jfdj,1=蠕
jff,1=蛙
jfg,1=蚶
jfh,1=旰
jfj,1=旱
jfk,1=蟛
jfm,1=蝻
jft,1=暑
jfy,1=昧
jg,1=量
jgc,1=蛭
jgd,1=昊
jge,1=晴
jgeg,1=蜻
jgf,1=旦
jgg,1=旺
jgh,1=题
jghh,1=韪
jghx,1=匙
jghy,1=虾
jgjn,1=蟪
jgk,1=晤
jgkl,1=蝠
jgm,1=师
jgmj,1=螬
jgu,1=蛱
jgy,1=蚨
jh,1=早
jhe,1=勖
jhf,1=冒
jhh,1=刂
jhhc,1=蠼
jhk,1=申
jhn,1=畅
jhng,1=曰
jhny,1=虫
ji,1=晃
jie,1=蛸
jip,1=螳
jj,1=昌
jja,1=曝
jjg,1=蛳
jjj,1=晶
jjjj,1=日
jjq,1=蝎
jjqr,1=蜴
jjs,1=蜾
jk,1=蝇
jkg,1=蜈
jkm,1=蜗
jl,1=曙
jlc,1=曼
jlf,1=蛊
jlg,1=蝈
jlk,1=蛔
jlx,1=螺
jm,1=遇
jma,1=蛐
jmd,1=映
jmf,1=蜩
jmfg,1=蚺
jmg,1=蚰
jmh,1=帅
jmhn,1=愚
jmhy,1=禺
jmq,1=蚬
jmw,1=蚋
jn,1=电
jnh,1=暇
jnn,1=虬
jnp,1=遢
jnt,1=曳
jnw,1=曜
jnx,1=昵
jo,1=显
jot,1=旷
jou,1=炅
jouw,1=蠊
jov,1=蝼
jovk,1=螗
jp,1=蛇
jpg,1=暄
jpj,1=螟
jpju,1=暝
jpl,1=晕
jplh,1=晖
jpq,1=蜿
jpv,1=晏
jq,1=晚
jqb,1=昂
jqd,1=蟾
jqi,1=晁
jqk,1=冕
jqke,1=蟓
jqko,1=煦
jqr,1=易
jqrj,1=剔
jqt,1=昴
jqu,1=昀
jqw,1=遏
jqwn,1=曷
jqww,1=歇
jr,1=蚯
jrgg,1=蝗
jrh,1=昕
jrt,1=蜱
js,1=果
jsd,1=颗
jsf,1=螵
jsg,1=晒
jsk,1=蚵
jsq,1=夥
jsr,1=晰
jsrh,1=蜥
jsu,1=杲
jsy,1=晡
jt,1=鉴
jtd,1=蜂
jtdg,1=蛞
jtdk,1=蜘
jtf,1=蛛
jtfp,1=蜓
jtg,1=星
jtga,1=戥
jtgo,1=曛
jth,1=昨
jthf,1=蚱
jthk,1=晷
jthn,1=螅
jthp,1=蜒
jtj,1=蝮
jtjh,1=蜊
jtm,1=晌
jtn,1=虼
jto,1=蟠
jton,1=蟋
jtr,1=蛾
jtu,1=蝌
jtx,1=晦
jty,1=览
jtyj,1=临
jtyl,1=监
ju,1=暗
juf,1=昱
jufh,1=蚪
jug,1=曦
jugb,1=蜷
juh,1=蛘
jujf,1=蝉
jujh,1=蟑
juk,1=蜕
jun,1=蜣
jur,1=蛟
jus,1=蝤
juu,1=蟮
jv,1=归
jvb,1=旯
jvk,1=昭
jvko,1=照
jw,1=蛤
jwc,1=蚣
jwgd,1=暌
jwgj,1=蝓
jwgs,1=蜍
jwj,1=蚧
jwn,1=虮
jwx,1=晔
jwy,1=暹
jwyc,1=蛉
jwyk,1=晗
jx,1=昆
jxe,1=蚴
jxh,1=蚓
jxxn,1=蚍
jy,1=影
jyb,1=暾
jyg,1=蛀
jyi,1=景
jyim,1=颢
jyiy,1=晾
jyj,1=蛴
jyk,1=曩
jyn,1=蝙
jynn,1=虻
jyr,1=蚁
jyrc,1=螭
jyt,1=蝣
jyu,1=螃
jyv,1=螂
jyx,1=蟀
jyy,1=蚊
k,1=中
ka,1=呀
kad,1=喏
kaf,1=嘞
kag,1=哐
kaj,1=噶
kal,1=喵
kam,1=咂
kan,1=喋
kann,1=呓
kap,1=唠
kar,1=哎
kary,1=呕
kat,1=哓
kaw,1=哄
kawk,1=嗬
kawk,2=嗒
kay,1=嚆
kb,1=啊
kbc,1=嗫
kbh,1=叩
kbhj,1=嗤
kbm,1=咄
kbn,1=吼
kbny,1=戢
kby,1=吸
kc,1=吧
kcb,1=邑
kcc,1=嗓
kccc,1=啜
kce,1=嗵
kcg,1=吗
kcq,1=吮
kct,1=唉
kctg,1=哞
kcw,1=唆
kcy,1=叹
kd,1=顺
kdb,1=呃
kde,1=呖
kdf,1=喹
kdg,1=咕
kdgk,1=喊
kdh,1=嘎
kdhg,1=呸
kdhi,1=嘁
kdht,1=嗄
kdj,1=喱
kdo,1=咴
kdp,1=哒
kdu,1=嘹
kduw,1=噘
kdw,1=嘶
kdwg,1=唪
kdwt,1=嗪
kdx,1=咙
kdy,1=吠
kdyy,1=呔
ke,1=另
keg,1=咀
keh,1=嗖
kej,1=别
kek,1=咖
kel,1=嚼
kep,1=嗳
keq,1=鹃
ket,1=叻
kf,1=叶
kfa,1=喷
kfc,1=吱
kfcl,1=嗑
kfd,1=嚅
kff,1=哇
kfg,1=吐
kfhw,1=嗔
kfj,1=嘲
kfk,1=嘻
kfke,1=嘭
kfkg,1=咭
kfl,1=鄙
kfm,1=喃
kfo,1=哧
kfp,1=噎
kfph,1=嚏
kfpi,1=嗦
kfq,1=呒
kft,1=哮
kftb,1=嘟
kftj,1=嗜
kfw,1=嚯
kfy,1=味
kg,1=号
kgb,1=吨
kgbh,1=郢
kgd,1=吴
kge,1=啄
kgf,1=呈
kgfh,1=吁
kgh,1=吓
kgj,1=哽
kgk,1=唔
kgke,1=囔
kgkh,1=嗝
kgm,1=啧
kgmj,1=嘈
kgnv,1=饕
kgo,1=哑
kgp,1=逞
kgq,1=咧
kgqt,1=嗷
kgt,1=唛
kgx,1=咦
kgxi,1=嗉
kgy,1=呋
kh,1=足
kha,1=距
khaj,1=躇
khaq,1=跷
khas,1=蹀
khaw,1=蹒
khay,1=躏
khb,1=跛
khbc,1=蹑
khby,1=趿
khc,1=踊
khck,1=跆
khcs,1=蹂
khd,1=跨
khdd,1=啡
khdf,1=踌
khdf,2=蹰
khdg,1=跖
khdw,1=蹶
khdy,1=跋
khe,1=啃
khed,1=蹊
khee,1=蹈
khek,1=跏
khes,1=踩
khf,1=跬
khg,1=践
khga,1=趼
khge,1=噱
khgm,1=贵
khgp,1=遗
khgp,2=遣
khgy,1=趺
khh,1=趾
khhj,1=踔
khhy,1=咔
khi,1=踏
khj,1=踢
khjn,1=蹋
khjs,1=踝
khks,1=躁
khl,1=盅
khlj,1=躅
khm,1=蹦
khmg,1=跚
khmj,1=踹
khn,1=忠
khnd,1=踞
khnn,1=跽
kho,1=嘘
khoc,1=踱
khof,1=躔
khog,1=蹼
khok,1=踮
khp,1=踪
khph,1=蹿
khpx,1=跎
khq,1=跑
khqb,1=跪
khqi,1=跳
khqy,1=趵
khr,1=踬
kht,1=路
khtd,1=跃
khtf,1=踵
khtg,1=跌
khtg,2=鹭
khti,1=跞
khtk,1=踟
khtl,1=蹯
khtm,1=躜
khtp,1=跹
khtq,1=跣
khty,1=踽
khua,1=蹉
khub,1=踯
khuf,1=蹲
khuj,1=蹭
khuk,1=踣
khur,1=跤
khv,1=跟
khvn,1=躐
khvp,1=踺
khw,1=趴
khwb,1=啮
khwb,2=跄
khwf,1=跗
khwn,1=唬
khws,1=跺
khwu,1=蹬
khx,1=嘴
khxf,1=跸
khxn,1=呲
khy,1=卟
khya,1=蹁
khyc,1=躞
khyh,1=蹄
khyj,1=跻
khyv,1=踉
khyy,1=蹴
ki,1=吵
kib,1=啵
kie,1=哨
kig,1=咣
kim,1=唢
kitx,1=嗨
kj,1=虽
kjb,1=嘬
kjf,1=哩
kjh,1=呻
kjj,1=唱
kjm,1=喁
kjn,1=黾
kjq,1=喝
kk,1=吕
kkc,1=骂
kkd,1=器
kkdk,1=嚣
kkdu,1=哭
kkfb,1=鄂
kkfg,1=鹗
kkfm,1=颚
kkh,1=串
kkhn,1=患
kkk,1=品
kkkk,1=口
kkks,1=噪
kkl,1=鼍
kkw,1=咒
kl,1=喂
kld,1=咽
kldn,1=嗯
kle,1=喟
klf,1=嘿
klfy,1=啭
klh,1=呷
km,1=员
kma,1=嗣
kmb,1=郧
kmd,1=喘
kme,1=勋
kmee,1=嘣
kmf,1=啁
kmh,1=吊
kmm,1=嘤
kmq,1=哕
kmw,1=呐
kmwj,1=剐
kmwu,1=呙
kmy,1=呗
kn,1=叫
kng,1=叼
kngb,1=哪
kngf,1=喔
knk,1=噼
knm,1=唰
knt,1=嘱
knx,1=呢
kny,1=吣
ko,1=嘛
koo,1=啖
kou,1=噗
kov,1=喽
koy,1=咪
kp,1=喧
kpa,1=噻
kpe,1=哝
kpgh,1=啶
kpn,1=嘧
kps,1=咛
kpt,1=喀
kpta,1=咤
kpw,1=嚓
kq,1=兄
kqg,1=鸣
kqgj,1=噜
kqm,1=唤
kqn,1=咆
kqq,1=哆
kqr,1=吻
kqrn,1=唿
kqt,1=啕
kqw,1=吹
kr,1=听
kra,1=唣
krc,1=呱
krd,1=唏
krdf,1=嗥
kre,1=哌
kri,1=史
krr,1=啪
krrh,1=哳
krt,1=啤
kru,1=啦
ks,1=呆
ksf,1=嘌
ksg,1=哂
ksh,1=叮
ksj,1=喳
ksk,1=呵
kskj,1=喇
kskw,1=嗽
kss,1=啉
kssi,1=噤
ksy,1=哺
kt,1=吃
kta,1=噬
ktan,1=吒
ktg,1=唾
kth,1=咱
kthd,1=嗅
kthf,1=咋
kthh,1=川
ktk,1=咯
ktm,1=响
ktmd,1=噢
ktng,1=呜
kto,1=啾
ktr,1=哦
ktu,1=呼
ktuy,1=咚
ku,1=咬
kua,1=嗟
kub,1=嗍
kuh,1=咩
kuhh,1=吖
kuj,1=喑
kujn,1=噫
kul,1=噌
kuv,1=唼
kuw,1=嗌
kv,1=啸
kvb,1=唧
kvc,1=呶
kvt,1=叨
kvy,1=哏
kw,1=只
kwb,1=呛
kwc,1=嗡
kwf,1=咐
kwfc,1=哙
kwfk,1=啥
kwg,1=哈
kwgj,1=喻
kwgu,1=噔
kwn,1=叽
kwnd,1=喉
kwr,1=嗲
kws,1=咻
kwsy,1=哚
kwv,1=吩
kwvt,1=咿
kww,1=唑
kwx,1=哗
kwy,1=叭
kwyc,1=呤
kwyc,2=噙
kwyg,1=唯
kwyn,1=吟
kwyo,1=噍
kx,1=哟
kxe,1=喙
kxet,1=呦
kxh,1=吲
kxn,1=叱
kxx,1=哔
kxxg,1=咝
kxxn,1=吡
kxxr,1=喈
kxy,1=吆
ky,1=唁
kyb,1=哼
kyc,1=唷
kyj,1=哜
kyk,1=嚷
kyn,1=咏
kynd,1=唳
kynw,1=咳
kyp,1=嚎
kyt,1=嗾
kyu,1=啼
kyud,1=嘀
kyv,1=啷
kyw,1=吭
kywf,1=啐
l,1=国
la,1=轼
laf,1=羁
lb,1=囝
lbn,1=辄
lbw,1=墼
lc,1=轻
lcc,1=轰
lccc,1=辍
ld,1=因
ldb,1=轭
ldd,1=固
lde,1=囿
ldf,1=罟
ldg,1=轱
ldh,1=罘
ldj,1=罨
ldn,1=恩
lds,1=畸
ldt,1=畴
ldw,1=辏
ldy,1=畎
le,1=男
lef,1=胃
lev,1=嬲
lf,1=团
lfc,1=罢
lfco,1=罴
lff,1=畦
lfh,1=轩
lfhf,1=置
lfk,1=辕
lfm,1=罱
lfn,1=转
lfnh,1=围
lfo,1=黑
lfod,1=默
lfod,2=黩
lfoe,1=黝
lfoe,2=黪
lfof,1=墨
lfoi,1=黥
lfoj,1=黯
lfok,1=黠
lfom,1=黜
lfon,1=黔
lfoq,1=黟
lfot,1=黢
lfq,1=园
lftj,1=署
lfu,1=圉
lg,1=车
lgb,1=囤
lgc,1=轾
lge,1=畏
lged,1=圊
lgh,1=罡
lgj,1=畀
lgk,1=辐
lgkd,1=圄
lgm,1=辆
lh,1=四
lhd,1=罪
lhj,1=罩
lhn,1=皿
lhng,1=囗
lhnh,1=甲
lhnt,1=轳
lj,1=辊
lk,1=回
lkb,1=辑
lkf,1=軎
lkm,1=圆
lkw,1=轵
ll,1=田
llg,1=圜
lm,1=轴
lmu,1=辋
ln,1=思
lna,1=辗
lnn,1=轧
lnw,1=罹
lo,1=辘
loq,1=辚
lp,1=连
lpd,1=辖
lpq,1=畹
lq,1=罗
lqg,1=鸭
lqj,1=蜀
lqp,1=逻
lqr,1=囫
lqw,1=软
lr,1=斩
lrc,1=畈
lrf,1=堑
lrj,1=暂
lrq,1=錾
lrs,1=椠
ls,1=困
lsh,1=町
lsi,1=圃
lsk,1=轲
lsy,1=辅
lt,1=略
ltd,1=轿
ltg,1=轶
ltkg,1=辂
ltn,1=轹
ltu,1=图
ltuf,1=轷
lty,1=畋
lu,1=较
lug,1=畔
lugb,1=圈
luj,1=疃
lul,1=罾
lv,1=轨
lvd,1=囡
lvk,1=轺
lvl,1=辎
lvy,1=轫
lw,1=界
lwe,1=轸
lwet,1=畛
lwg,1=输
lwgg,1=辁
lwi,1=囚
lwx,1=轮
lwxv,1=囵
lwy,1=囹
lx,1=累
lxx,1=毗
ly,1=罚
lyc,1=辙
lyf,1=詈
m,1=同
ma,1=曲
madt,1=贼
mah,1=岈
mai,1=岽
map,1=嵘
mape,1=崂
mar,1=岖
maw,1=典
mb,1=邮
mby,1=岌
mc,1=峻
mcb,1=岜
mcg,1=峄
mck,1=贻
md,1=央
mde,1=贿
mdf,1=岩
mdfe,1=赈
mdff,1=崖
mdfj,1=岸
mdg,1=岵
mdgv,1=崴
mdh,1=酆
mdj,1=崦
mdl,1=盎
mdm,1=颛
mdmp,1=遄
mdo,1=炭
mdq,1=鸯
mds,1=崎
me,1=骨
med,1=髓
medg,1=骷
mee,1=崩
mef,1=胄
mej,1=髁
mel,1=髑
meo,1=髅
mep,1=髋
mepk,1=髂
mepw,1=髌
meq,1=骶
meqg,1=鹘
mer,1=骺
merf,1=髀
met,1=骼
mew,1=骰
mewj,1=骱
mey,1=骸
mf,1=财
mfc,1=岐
mfd,1=冉
mff,1=峙
mfh,1=巅
mfk,1=周
mfky,1=雕
mfn,1=赎
mfq,1=嵌
mftj,1=赌
mg,1=赋
mga,1=贱
mgah,1=岍
mge,1=豳
mgi,1=赇
mgn,1=屿
mgu,1=峡
mgus,1=崃
mh,1=由
mhb,1=帔
mhd,1=帱
mhf,1=帏
mhg,1=幅
mhgm,1=帻
mhh,1=帧
mhhk,1=帖
mhj,1=帽
mhjc,1=幔
mhjq,1=幌
mhk,1=巾
mhkg,1=贴
mhkw,1=帜
mhl,1=帼
mhn,1=冂
mhnf,1=幄
mhny,1=贝
mho,1=幞
mhr,1=帕
mht,1=帐
mhtg,1=帙
mhtl,1=幡
mhu,1=幢
mhuj,1=幛
mhw,1=帆
mhwy,1=帷
mi,1=峭
miw,1=嵴
mj,1=则
mjq,1=赐
mjv,1=岿
mk,1=迥
mkq,1=贶
ml,1=崭
mld,1=崮
mlh,1=岬
mln,1=崽
mm,1=册
mmg,1=岫
mmgj,1=删
mmgk,1=峒
mmm,1=山
mmq,1=岘
mmr,1=岗
mmt,1=罂
mmv,1=婴
mmvg,1=鹦
mn,1=岂
mna,1=岷
mnbm,1=崛
mnh,1=嵋
mnj,1=剀
mnm,1=觊
mnn,1=屺
mnw,1=凯
mny,1=赆
mo,1=赃
moo,1=赕
moq,1=嶙
mov,1=嵝
mp,1=迪
mpf,1=崇
mpg,1=贮
mpw,1=崆
mq,1=见
mqc,1=购
mqd,1=赡
mqj,1=峋
mqjh,1=刿
mqk,1=岣
mqt,1=峁
mqu,1=岁
mqv,1=峥
mr,1=冈
mrc,1=贩
mrd,1=崤
mrj,1=刚
mrq,1=嵬
mrr,1=网
ms,1=崧
msf,1=赙
msk,1=岢
msv,1=崾
mt,1=败
mta,1=账
mtd,1=峰
mtdj,1=峤
mtk,1=赂
mtn,1=屹
mtp,1=贬
mtr,1=峨
mtu,1=嵊
mtv,1=巍
mu,1=赠
